,Beta [degrees],Cv [-],Tao [degrees],Fn [-],H1/3 /b [-],Ra/wb3 [-]
0,10,0.6,4,0.594961647,0.667,0.015
1,10,0.6,4,0.594961647,0.444,0.014
2,10,0.6,4,1.189923294,0.222,0.028
3,10,0.6,4,1.189923294,0.444,0.046
4,10,0.6,4,1.189923294,0.667,0.049
5,10,0.6,4,1.78488494,0.222,0.03
6,10,0.6,4,1.78488494,0.444,0.04
7,30,0.6,6,1.189923294,0.444,0.02
8,30,0.6,6,1.189923294,0.222,0.007
9,30,0.6,6,1.189923294,0.667,0.023
10,30,0.6,4,0.594961647,0.667,0.019
11,30,0.6,4,0.594961647,0.444,0.014
12,30,0.6,4,1.189923294,0.444,0.036
13,30,0.6,4,1.189923294,0.222,0.017
14,30,0.6,4,1.189923294,0.667,0.041
15,30,0.6,4,1.78488494,0.222,0.017
16,30,0.6,4,1.78488494,0.444,0.032
17,10,0.6,6,1.189923294,0.444,0.034
18,10,0.6,6,1.189923294,0.222,0.022
19,10,0.6,6,1.189923294,0.667,0.042
20,20,0.6,4,1.189923294,0.444,0.044
21,20,0.6,4,1.189923294,0.222,0.029
22,20,0.6,4,1.189923294,0.667,0.054
23,20,0.72,4,0.594961647,0.444,0.009
24,20,0.6,4,0.594961647,0.444,0.013
25,20,0.6,4,0.594961647,0.667,0.017
26,20,0.6,4,0.594961647,0.222,0.013
27,20,0.48,4,1.189923294,0.222,0.022
28,20,0.48,4,1.189923294,0.667,0.041
29,20,0.6,4,1.78488494,0.444,0.032
30,20,0.6,4,1.78488494,0.222,0.021
31,20,0.48,4,0.594961647,0.444,0.015
32,20,0.48,4,0.594961647,0.222,0.012
33,20,0.6,6,1.189923294,0.222,0.019
34,20,0.6,6,1.189923294,0.444,0.035
35,20,0.6,6,1.189923294,0.667,0.038
36,20,0.6,6,0.594961647,0.667,0.025
37,20,0.6,6,0.594961647,0.444,0.022
38,20,0.6,6,0.594961647,0.222,0.018
39,20,0.72,4,1.189923294,0.222,0.025
40,20,0.72,4,1.189923294,0.444,0.049
41,20,0.72,4,1.189923294,0.667,0.058
42,20,0.72,4,1.78488494,0.444,0.055
43,20,0.72,4,1.78488494,0.222,0.027
44,20,0.48,4,1.189923294,0.222,0.023
45,20,0.48,4,1.189923294,0.444,0.036
46,20,0.48,4,1.189923294,0.667,0.041
47,20,0.384,4,1.189923294,0.667,0.037
48,20,0.384,4,1.189923294,0.444,0.035
49,20,0.384,4,1.189923294,0.222,0.027
50,20,0.48,4,1.78488494,0.222,0.027
51,20,0.48,4,1.78488494,0.444,0.045
52,20,0.48,4,0.594961647,0.222,0.007
53,20,0.48,4,0.594961647,0.444,0.01
54,20,0.48,4,0.594961647,0.677,0.012
55,20,0.384,4,0.594961647,0.667,0.01
56,20,0.384,4,0.594961647,0.444,0.008
57,20,0.384,4,1.78488494,0.444,0.023
58,20,0.384,4,1.78488494,0.222,0.017
59,10,0.8,3,0.595,0.26,0.019
60,10,0.8,3,0.595,0.417,0.027
61,10,0.8,3,0.595,0.664,0.035
62,10,0.8,3,0.8924,0.261,0.024
63,10,0.8,3,0.8924,0.409,0.035
64,10,0.8,3,0.8924,0.647,0.044
65,10,0.8,3,1.1899,0.275,0.025
66,10,0.8,3,1.1899,0.436,0.049
67,10,0.8,3,1.1899,0.647,0.076
68,10,1,3,0.595,0.227,0.009
69,10,1,3,0.595,0.475,0.026
70,10,1,3,0.595,0.684,0.039
71,10,1,3,0.8924,0.311,0.045
72,10,1,3,0.8924,0.503,0.066
73,10,1,3,0.8924,0.684,0.078
74,10,1,3,1.1899,0.235,0.065
75,10,1.2,3,0.595,0.27,0.012
76,10,1.2,3,0.595,0.368,0.017
77,10,1.2,3,0.595,0.592,0.022
78,10,1.2,3,0.8924,0.228,0.028
79,10,1.2,3,0.8924,0.463,0.058
80,10,1.2,3,0.8924,0.596,0.06
81,10,1.2,3,1.1899,0.248,0.057
82,10,0.8,2,0.595,0.443,0.013
83,10,0.8,2,0.595,0.734,0.018
84,10,0.8,2,0.8924,0.23,0.026
85,10,0.8,2,0.8924,0.444,0.057
86,10,0.8,2,0.8924,0.694,0.068
87,10,0.8,2,1.1899,0.248,0.055
88,10,0.8,4,0.595,0.267,0.014
89,10,0.8,4,0.595,0.424,0.03
90,10,0.8,4,0.595,0.714,0.034
91,10,0.8,4,0.8924,0.284,0.015
92,10,0.8,4,0.8924,0.464,0.031
93,10,0.8,4,0.8924,0.617,0.035
94,10,0.8,4,1.1899,0.298,0.031
95,10,0.8,4,1.1899,0.454,0.055
96,20,0.8,3,0.595,0.226,0.014
97,20,0.8,3,0.595,0.399,0.024
98,20,0.8,3,0.595,0.705,0.03
99,20,0.8,3,0.8924,0.238,0.019
100,20,0.8,3,0.8924,0.355,0.029
101,20,0.8,3,0.8924,0.62,0.043
102,20,0.8,3,1.1899,0.221,0.02
103,20,0.8,3,1.1899,0.401,0.044
104,20,0.8,3,1.1899,0.602,0.058
105,20,1,3,0.595,0.321,0.024
106,20,1,3,0.595,0.39,0.033
107,20,1,3,0.595,0.659,0.045
108,20,1,3,0.8924,0.289,0.03
109,20,1,3,0.8924,0.414,0.054
110,20,1,3,0.8924,0.675,0.07
111,20,1,3,1.1899,0.332,0.079
112,10,0.8,2,1.1899,0.392,0.084
113,30,1,3,1.1899,0.478,0.084
114,20,1.2,3,0.595,0.295,0.016
115,20,1.2,3,0.595,0.485,0.031
116,20,1.2,3,0.595,0.688,0.043
117,20,1.2,3,0.8924,0.275,0.024
118,20,1.2,3,0.8924,0.479,0.058
119,20,1.2,3,0.8924,0.636,0.064
120,20,1.2,3,1.1899,0.228,0.044
121,20,1,3,0.4641,0.278,0.021
122,20,1,3,0.4641,0.46,0.036
123,20,1,3,0.4641,0.647,0.053
124,20,1,3,0.6931,0.298,0.022
125,20,1,3,0.6931,0.675,0.051
126,20,1,3,0.9252,0.258,0.033
127,20,1,3,0.9252,0.487,0.059
128,20,1.2,3,0.4641,0.216,0.011
129,20,1.2,3,0.4641,0.487,0.035
130,20,1.2,3,0.4641,0.637,0.036
131,20,1.2,3,0.705,0.259,0.019
132,20,1.2,3,0.705,0.401,0.039
133,20,1.2,3,0.705,0.685,0.061
134,20,1.2,3,0.9252,0.222,0.014
135,20,1.2,3,0.9252,0.481,0.051
136,20,1.2,3,0.9252,0.614,0.063
137,30,0.8,3,0.595,0.269,0.014
138,30,0.8,3,0.595,0.462,0.018
139,30,0.8,3,0.8924,0.223,0.016
140,30,0.8,3,0.8924,0.365,0.025
141,30,0.8,3,0.8924,0.62,0.038
142,30,0.8,3,1.1899,0.218,0.018
143,30,0.8,3,1.1899,0.355,0.037
144,30,0.8,3,1.1899,0.621,0.063
145,30,1,3,0.595,0.247,0.012
146,30,1,3,0.595,0.503,0.026
147,30,1,3,0.595,0.616,0.03
148,30,1,3,0.8924,0.225,0.035
149,30,1,3,1.1899,0.288,0.038
150,30,1,3,1.1899,0.694,0.093
151,30,1.2,3,0.595,0.219,0.012
152,30,1.2,3,0.595,0.362,0.024
153,30,1.2,3,0.595,0.634,0.027
154,30,1.2,3,0.8924,0.219,0.02
155,30,1.2,3,0.8924,0.38,0.046
156,30,1.2,3,0.8924,0.587,0.06
157,30,1.2,3,1.1899,0.228,0.025
158,30,1.2,3,1.1899,0.33,0.055
159,30,0.8,2,0.595,0.215,0.012
160,30,0.8,2,0.595,0.351,0.02
161,30,0.8,2,0.595,0.698,0.032
162,30,0.8,2,0.8924,0.236,0.017
163,30,0.8,2,0.8924,0.42,0.033
164,30,0.8,2,0.8924,0.634,0.04
165,30,0.8,2,1.1899,0.225,0.065
